school,school,sex,afe,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3
"""25""","""GP""","""F""",15,"""R""","""GT3""","""T""",2,4,"""services""","""health""","""course""","""mother""",1,3,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,2,1,1,5,2,10,11
"""26""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,2,"""services""","""services""","""home""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""",1,2,2,1,3,5,6,10,11
"""27""","""GP""","""M""",15,"""U""","""GT3""","""T""",2,2,"""other""","""other""","""home""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,2,2,1,2,5,8,11,12
"""28""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,2,"""health""","""services""","""other""","""mother""",1,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",2,2,4,2,4,1,0,11,11
"""29""","""GP""","""M""",16,"""U""","""LE3""","""A""",3,4,"""services""","""other""","""home""","""mother""",1,2,0,"""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""no""",5,3,3,1,1,5,2,12,12
"""30""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,4,"""teacher""","""teacher""","""home""","""mother""",1,2,0,"""no""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""",4,4,5,5,5,5,4,12,11
"""31""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,4,"""health""","""services""","""home""","""mother""",1,2,0,"""no""","""yes""","""yes""","""no""","""no""","""yes""","""yes""","""no""",5,4,2,3,4,5,0,10,11
"""32""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,4,"""services""","""services""","""reputation""","""mother""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,1,1,1,5,2,15,15
"""33""","""GP""","""M""",15,"""R""","""GT3""","""T""",4,3,"""teacher""","""at_home""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,5,2,1,1,5,0,13,14
"""34""","""GP""","""M""",15,"""U""","""LE3""","""T""",3,3,"""other""","""other""","""course""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""","""no""",5,3,2,1,1,2,0,13,12
"""35""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,2,"""other""","""other""","""home""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""",5,4,3,1,1,5,4,12,12
"""36""","""GP""","""F""",15,"""U""","""GT3""","""T""",2,3,"""other""","""other""","""other""","""father""",2,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",3,5,1,1,1,5,4,11,11
"""37""","""GP""","""M""",15,"""U""","""LE3""","""T""",4,3,"""teacher""","""services""","""home""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,4,3,1,1,4,0,14,14
"""38""","""GP""","""M""",16,"""R""","""GT3""","""A""",4,4,"""other""","""teacher""","""reputation""","""mother""",2,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",2,4,3,1,1,5,4,13,13
"""39""","""GP""","""F""",15,"""R""","""GT3""","""T""",3,4,"""services""","""health""","""course""","""mother""",1,3,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,2,1,1,5,2,11,12
"""40""","""GP""","""F""",15,"""R""","""GT3""","""T""",2,2,"""at_home""","""other""","""reputation""","""mother""",1,1,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",4,3,1,1,1,2,8,14,13
"""41""","""GP""","""F""",16,"""U""","""LE3""","""T""",2,2,"""other""","""other""","""home""","""mother""",2,2,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",3,3,3,1,2,3,16,11,11
"""42""","""GP""","""M""",15,"""U""","""LE3""","""T""",4,4,"""teacher""","""other""","""home""","""other""",1,1,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""yes""",5,4,3,2,4,5,8,10,11
"""43""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,4,"""services""","""teacher""","""course""","""father""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,3,1,1,5,0,14,15
"""44""","""GP""","""M""",15,"""U""","""GT3""","""T""",2,2,"""services""","""services""","""course""","""father""",1,1,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,4,1,1,1,1,0,9,10
"""45""","""GP""","""F""",16,"""U""","""LE3""","""T""",2,2,"""other""","""at_home""","""course""","""father""",2,2,1,"""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,3,2,2,5,14,10,11
"""46""","""GP""","""F""",15,"""U""","""LE3""","""A""",4,3,"""other""","""other""","""course""","""mother""",1,2,0,"""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""",5,2,2,1,1,5,4,10,11
"""47""","""GP""","""F""",16,"""U""","""LE3""","""A""",3,3,"""other""","""services""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",2,3,5,1,4,3,6,13,12
"""48""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,3,"""health""","""services""","""reputation""","""mother""",1,4,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,2,2,1,1,2,2,17,17
"""49""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,2,"""teacher""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,3,3,2,2,5,4,11,12
"""50""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,4,"""services""","""teacher""","""other""","""father""",1,2,0,"""yes""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""no""",4,4,4,1,1,3,2,13,12
"""51""","""GP""","""F""",16,"""U""","""LE3""","""T""",2,2,"""services""","""services""","""course""","""mother""",3,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,3,3,2,3,4,0,14,13
"""52""","""GP""","""F""",15,"""U""","""LE3""","""T""",4,2,"""health""","""other""","""other""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,3,3,1,1,5,0,16,14
"""53""","""GP""","""M""",15,"""U""","""LE3""","""A""",4,2,"""health""","""health""","""other""","""father""",2,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",5,5,5,3,4,5,4,10,9
"""54""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,4,"""services""","""services""","""course""","""mother""",1,1,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,3,4,2,3,5,0,13,12
"""55""","""GP""","""F""",15,"""U""","""LE3""","""A""",3,3,"""other""","""other""","""other""","""mother""",1,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,3,4,4,4,1,0,13,12
"""56""","""GP""","""F""",16,"""U""","""GT3""","""A""",2,1,"""other""","""other""","""other""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",5,3,4,1,1,2,2,12,13
"""57""","""GP""","""F""",15,"""U""","""GT3""","""A""",4,3,"""services""","""services""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,2,1,1,1,0,15,14
"""58""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,4,"""teacher""","""health""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",3,2,2,1,1,5,8,15,15
"""59""","""GP""","""M""",15,"""U""","""LE3""","""T""",1,2,"""other""","""at_home""","""home""","""father""",1,2,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,2,1,1,5,0,14,13
"""60""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,2,"""services""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""no""",4,2,3,1,1,5,2,16,15
"""61""","""GP""","""F""",16,"""R""","""GT3""","""T""",4,4,"""health""","""teacher""","""other""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",2,4,4,2,3,4,0,17,16
"""62""","""GP""","""F""",16,"""U""","""GT3""","""T""",1,1,"""services""","""services""","""course""","""father""",4,1,0,"""yes""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",5,5,5,5,5,5,0,10,10
"""63""","""GP""","""F""",16,"""U""","""LE3""","""T""",1,2,"""other""","""services""","""reputation""","""father""",1,2,0,"""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,4,3,1,1,1,0,13,13
"""64""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,3,"""teacher""","""health""","""home""","""mother""",1,3,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,4,4,2,4,4,0,14,13
"""65""","""GP""","""F""",15,"""U""","""LE3""","""T""",4,3,"""services""","""services""","""reputation""","""father""",1,2,0,"""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,4,4,2,4,2,0,13,12
"""66""","""GP""","""F""",16,"""U""","""LE3""","""T""",4,3,"""teacher""","""services""","""course""","""mother""",3,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,4,3,1,2,1,2,16,15
"""67""","""GP""","""M""",15,"""U""","""GT3""","""A""",4,4,"""other""","""services""","""reputation""","""mother""",1,4,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",1,3,3,5,5,3,0,11,12
"""68""","""GP""","""F""",16,"""U""","""GT3""","""T""",3,1,"""services""","""other""","""course""","""mother""",1,4,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,3,3,1,2,5,0,10,9
"""69""","""GP""","""F""",15,"""R""","""LE3""","""T""",2,2,"""health""","""services""","""reputation""","""mother""",2,2,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,1,3,1,3,4,0,11,10
"""70""","""GP""","""F""",15,"""R""","""LE3""","""T""",3,1,"""other""","""other""","""reputation""","""father""",2,4,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""",4,4,2,2,3,3,6,15,15
"""71""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,1,"""other""","""other""","""reputation""","""father""",2,4,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,3,2,1,1,5,2,13,11
"""72""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,2,"""other""","""other""","""course""","""mother""",1,4,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,3,3,1,1,3,0,11,9
"""73""","""GP""","""F""",15,"""R""","""GT3""","""T""",1,1,"""other""","""other""","""reputation""","""mother""",1,2,0,"""yes""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""yes""",3,3,4,2,4,5,2,13,11
"""74""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,1,"""other""","""other""","""reputation""","""mother""",1,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""","""no""",5,3,2,2,2,5,0,13,13
"""75""","""GP""","""F""",16,"""U""","""GT3""","""T""",3,3,"""other""","""services""","""home""","""mother""",1,2,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,3,2,4,5,4,11,11
"""76""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,3,"""teacher""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,3,2,3,5,0,11,11
"""77""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,0,"""teacher""","""other""","""course""","""mother""",2,4,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,4,3,1,1,1,0,12,11
"""78""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,2,"""other""","""other""","""reputation""","""mother""",1,4,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",5,2,3,1,3,3,1,13,13
"""79""","""GP""","""M""",17,"""U""","""GT3""","""T""",2,1,"""other""","""other""","""home""","""mother""",2,1,3,"""yes""","""yes""","""no""","""yes""","""yes""","""no""","""yes""","""no""",4,5,1,1,1,3,0,9,9
"""80""","""GP""","""F""",16,"""U""","""GT3""","""T""",3,4,"""at_home""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",2,4,3,1,2,3,14,12,11
"""81""","""GP""","""M""",15,"""U""","""GT3""","""T""",2,3,"""other""","""services""","""course""","""father""",1,1,0,"""yes""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",3,2,2,1,3,3,0,11,11
"""82""","""GP""","""M""",15,"""U""","""GT3""","""T""",2,3,"""other""","""other""","""home""","""mother""",1,3,0,"""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""",5,3,2,1,2,5,2,10,9
"""83""","""GP""","""F""",15,"""U""","""LE3""","""T""",3,2,"""services""","""other""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,4,4,1,1,5,4,12,11
"""84""","""GP""","""M""",15,"""U""","""LE3""","""T""",2,2,"""services""","""services""","""home""","""mother""",2,2,0,"""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""","""no""",5,3,3,1,3,4,2,13,12
"""85""","""GP""","""F""",15,"""U""","""GT3""","""T""",1,1,"""other""","""other""","""home""","""father""",1,2,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""no""",4,3,2,2,3,4,2,13,12
"""86""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,4,"""services""","""services""","""reputation""","""father""",2,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,4,4,2,3,5,4,12,11
"""87""","""GP""","""F""",16,"""U""","""LE3""","""T""",2,2,"""at_home""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,3,4,1,2,2,6,13,11
"""88""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,2,"""other""","""other""","""reputation""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,3,3,1,3,1,4,15,15
"""89""","""GP""","""M""",16,"""U""","""GT3""","""T""",2,2,"""services""","""other""","""reputation""","""father""",2,2,0,"""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""","""no""",4,4,2,1,1,3,6,12,10
"""90""","""GP""","""M""",16,"""U""","""LE3""","""A""",4,4,"""teacher""","""health""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,1,3,3,5,5,6,9,9
"""91""","""GP""","""F""",16,"""U""","""GT3""","""T""",3,3,"""other""","""other""","""home""","""mother""",1,3,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,3,3,1,3,4,2,9,11
"""92""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,3,"""services""","""other""","""reputation""","""mother""",1,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,5,5,1,3,1,6,14,13
"""93""","""GP""","""F""",16,"""U""","""LE3""","""T""",3,1,"""other""","""other""","""home""","""father""",1,2,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",3,3,3,2,3,2,0,12,13
"""94""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,2,"""teacher""","""services""","""home""","""mother""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,3,3,1,1,1,2,13,14
"""95""","""GP""","""M""",15,"""U""","""LE3""","""T""",2,2,"""services""","""health""","""reputation""","""mother""",1,4,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,4,1,1,4,2,11,12
"""96""","""GP""","""F""",15,"""R""","""GT3""","""T""",1,1,"""at_home""","""other""","""home""","""mother""",2,4,0,"""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""no""",3,1,2,1,1,1,4,13,13
"""97""","""GP""","""M""",16,"""R""","""GT3""","""T""",4,3,"""services""","""other""","""reputation""","""mother""",2,1,0,"""yes""","""yes""","""yes""","""yes""","""no""","""yes""","""yes""","""no""",3,3,3,1,1,4,6,9,11
"""98""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,1,"""other""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""yes""",4,3,5,1,1,5,0,13,12
"""99""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,4,"""other""","""other""","""reputation""","""mother""",1,1,0,"""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""","""no""",5,3,4,1,2,1,4,12,13
"""100""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,3,"""other""","""at_home""","""course""","""mother""",1,3,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,3,5,1,1,3,2,12,13
"""101""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,4,"""services""","""services""","""other""","""mother""",1,1,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,5,5,5,5,4,12,9,9
"""102""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,4,"""services""","""teacher""","""other""","""father""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,4,3,1,1,4,0,16,16
"""103""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,4,"""services""","""other""","""course""","""mother""",1,1,0,"""no""","""yes""","""yes""","""yes""","""no""","""yes""","""yes""","""no""",5,3,3,1,1,5,2,12,13
"""104""","""GP""","""F""",15,"""U""","""GT3""","""T""",3,2,"""services""","""other""","""home""","""mother""",2,2,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,3,5,1,1,2,16,11,10
"""105""","""GP""","""M""",15,"""U""","""GT3""","""A""",3,4,"""services""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,4,4,1,1,1,0,16,16
"""106""","""GP""","""F""",15,"""U""","""GT3""","""A""",3,3,"""other""","""health""","""reputation""","""father""",1,4,0,"""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,3,3,1,1,4,10,10,10
"""107""","""GP""","""F""",15,"""U""","""GT3""","""T""",2,2,"""other""","""other""","""course""","""mother""",1,4,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,1,2,1,1,3,4,10,10
"""108""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,3,"""services""","""other""","""home""","""father""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,3,3,1,1,5,4,13,14
"""109""","""GP""","""M""",15,"""R""","""GT3""","""T""",4,4,"""other""","""other""","""home""","""father""",4,4,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",1,3,5,3,5,1,8,12,10
"""110""","""GP""","""F""",16,"""U""","""LE3""","""T""",4,4,"""health""","""health""","""other""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",5,4,5,1,1,4,2,15,15
"""111""","""GP""","""M""",15,"""U""","""LE3""","""A""",4,4,"""teacher""","""teacher""","""course""","""mother""",1,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,5,3,1,1,4,4,13,14
"""112""","""GP""","""F""",16,"""R""","""GT3""","""T""",3,3,"""services""","""other""","""reputation""","""father""",1,3,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,1,2,1,1,2,4,11,11
"""113""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,2,"""at_home""","""other""","""home""","""mother""",1,2,1,"""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,1,2,1,1,5,12,8,10
"""114""","""GP""","""M""",15,"""U""","""LE3""","""T""",4,2,"""teacher""","""other""","""course""","""mother""",1,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,5,2,1,1,3,10,18,17
"""115""","""GP""","""M""",15,"""R""","""GT3""","""T""",2,1,"""health""","""services""","""reputation""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",5,4,2,1,1,5,4,10,9
"""116""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,4,"""teacher""","""teacher""","""course""","""father""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,4,4,1,2,5,6,16,14
"""117""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,4,"""other""","""teacher""","""reputation""","""father""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",4,4,3,1,1,2,4,16,15
"""118""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,3,"""other""","""services""","""home""","""father""",2,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,4,2,1,1,5,6,14,14
"""119""","""GP""","""M""",17,"""R""","""GT3""","""T""",1,3,"""other""","""other""","""course""","""father""",3,2,1,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,2,4,1,4,5,14,12,11
